2025-07-22 16:16:03 | __main__ | INFO | Training complete - RMSE on test set: 6.2223
2025-07-22 16:16:27 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-22 16:16:27 | __main__ | INFO | Registering best model from run_id=d52280f3ec144119906fc4be0c1fe7aa with RMSE=6.2223
2025-07-22 16:16:27 | __main__ | INFO | Model registered: name=stock-ema-model, version=2
2025-07-23 03:24:06 | __main__ | INFO | Successfully loggin model from registry.
2025-07-23 03:25:20 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 03:25:20 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 03:25:24 | __main__ | INFO | Exported AAPL data to data/inference/raw/AAPL.csv
2025-07-23 03:25:24 | __main__ | INFO | Exported GOOGL data to data/inference/raw/GOOGL.csv
2025-07-23 03:25:24 | __main__ | INFO | Exported MSFT data to data/inference/raw/MSFT.csv
2025-07-23 03:25:24 | __main__ | INFO | Exported NVDA data to data/inference/raw/NVDA.csv
2025-07-23 03:25:24 | __main__ | INFO | Exported AMZN data to data/inference/raw/AMZN.csv
2025-07-23 03:25:24 | __main__ | INFO | Exported META data to data/inference/raw/META.csv
2025-07-23 03:26:47 | __main__ | INFO | Starting data preparation flow...
2025-07-23 03:26:47 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-23 for 6 stocks.
2025-07-23 03:26:51 | __main__ | INFO | Exported AAPL data to data/train/raw/AAPL.csv
2025-07-23 03:26:51 | __main__ | INFO | Exported GOOGL data to data/train/raw/GOOGL.csv
2025-07-23 03:26:51 | __main__ | INFO | Exported MSFT data to data/train/raw/MSFT.csv
2025-07-23 03:26:51 | __main__ | INFO | Exported NVDA data to data/train/raw/NVDA.csv
2025-07-23 03:26:51 | __main__ | INFO | Exported AMZN data to data/train/raw/AMZN.csv
2025-07-23 03:26:51 | __main__ | INFO | Exported META data to data/train/raw/META.csv
2025-07-23 03:30:00 | __main__ | INFO | Starting data preparation flow...
2025-07-23 03:30:00 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-23 for 6 stocks.
2025-07-23 03:30:05 | __main__ | INFO | Exported AAPL data to data/train/raw/AAPL.csv
2025-07-23 03:30:05 | __main__ | INFO | Exported GOOGL data to data/train/raw/GOOGL.csv
2025-07-23 03:30:05 | __main__ | INFO | Exported MSFT data to data/train/raw/MSFT.csv
2025-07-23 03:30:05 | __main__ | INFO | Exported NVDA data to data/train/raw/NVDA.csv
2025-07-23 03:30:05 | __main__ | INFO | Exported AMZN data to data/train/raw/AMZN.csv
2025-07-23 03:30:05 | __main__ | INFO | Exported META data to data/train/raw/META.csv
2025-07-23 03:30:06 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-23 03:33:55 | __main__ | INFO | Starting data preparation flow...
2025-07-23 03:33:55 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-23 for 6 stocks.
2025-07-23 03:33:59 | __main__ | INFO | Exported AAPL data to data/train/raw/AAPL.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported GOOGL data to data/train/raw/GOOGL.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported MSFT data to data/train/raw/MSFT.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported NVDA data to data/train/raw/NVDA.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported AMZN data to data/train/raw/AMZN.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported META data to data/train/raw/META.csv
2025-07-23 03:33:59 | __main__ | INFO | Exported train_df to data/train/processed/train.csv
